[2025-03-07T22:23:07.847+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-07T22:23:07.872+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T22:23:04.871134+00:00 [queued]>
[2025-03-07T22:23:07.883+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T22:23:04.871134+00:00 [queued]>
[2025-03-07T22:23:07.884+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-07T22:23:07.902+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_data> on 2025-03-07 22:23:04.871134+00:00
[2025-03-07T22:23:07.913+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=83) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-07T22:23:07.915+0000] {standard_task_runner.py:72} INFO - Started process 85 to run task
[2025-03-07T22:23:07.914+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tiki_extract_dag', 'extract_data', 'manual__2025-03-07T22:23:04.871134+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/tiki_extract_dag.py', '--cfg-path', '/tmp/tmp4tg0lixi']
[2025-03-07T22:23:07.916+0000] {standard_task_runner.py:105} INFO - Job 35: Subtask extract_data
[2025-03-07T22:23:07.981+0000] {task_command.py:467} INFO - Running <TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T22:23:04.871134+00:00 [running]> on host 9a2d81a2e852
[2025-03-07T22:23:08.100+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tiki_extract_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-07T22:23:04.871134+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-07T22:23:04.871134+00:00'
[2025-03-07T22:23:08.103+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-07T22:23:08.103+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-07T22:23:08.104+0000] {logging_mixin.py:190} INFO - Current task name:extract_data state:running start_date:2025-03-07 22:23:07.874032+00:00
[2025-03-07T22:23:08.105+0000] {logging_mixin.py:190} INFO - Dag name:tiki_extract_dag and current dag run status:running
[2025-03-07T22:23:08.105+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-07T22:23:09.809+0000] {crawl_data.py:111} INFO - Extracted page 1 - lam-dep-suc-khoe
[2025-03-07T22:23:11.986+0000] {crawl_data.py:111} INFO - Extracted page 2 - lam-dep-suc-khoe
[2025-03-07T22:23:14.339+0000] {crawl_data.py:111} INFO - Extracted page 3 - lam-dep-suc-khoe
[2025-03-07T22:23:17.497+0000] {crawl_data.py:111} INFO - Extracted page 4 - lam-dep-suc-khoe
[2025-03-07T22:23:19.997+0000] {crawl_data.py:111} INFO - Extracted page 5 - lam-dep-suc-khoe
[2025-03-07T22:23:23.149+0000] {crawl_data.py:111} INFO - Extracted page 6 - lam-dep-suc-khoe
[2025-03-07T22:23:25.577+0000] {crawl_data.py:111} INFO - Extracted page 7 - lam-dep-suc-khoe
[2025-03-07T22:23:27.317+0000] {crawl_data.py:111} INFO - Extracted page 8 - lam-dep-suc-khoe
[2025-03-07T22:23:30.309+0000] {crawl_data.py:111} INFO - Extracted page 9 - lam-dep-suc-khoe
[2025-03-07T22:23:32.032+0000] {crawl_data.py:111} INFO - Extracted page 10 - lam-dep-suc-khoe
[2025-03-07T22:23:34.391+0000] {crawl_data.py:111} INFO - Extracted page 11 - lam-dep-suc-khoe
[2025-03-07T22:23:35.824+0000] {crawl_data.py:111} INFO - Extracted page 12 - lam-dep-suc-khoe
[2025-03-07T22:23:38.687+0000] {crawl_data.py:111} INFO - Extracted page 13 - lam-dep-suc-khoe
[2025-03-07T22:23:41.151+0000] {crawl_data.py:111} INFO - Extracted page 14 - lam-dep-suc-khoe
[2025-03-07T22:23:43.996+0000] {crawl_data.py:111} INFO - Extracted page 15 - lam-dep-suc-khoe
[2025-03-07T22:23:45.992+0000] {crawl_data.py:111} INFO - Extracted page 16 - lam-dep-suc-khoe
[2025-03-07T22:23:47.240+0000] {crawl_data.py:111} INFO - Extracted page 17 - lam-dep-suc-khoe
[2025-03-07T22:23:50.187+0000] {crawl_data.py:111} INFO - Extracted page 18 - lam-dep-suc-khoe
[2025-03-07T22:23:51.696+0000] {crawl_data.py:111} INFO - Extracted page 19 - lam-dep-suc-khoe
[2025-03-07T22:23:53.541+0000] {crawl_data.py:111} INFO - Extracted page 20 - lam-dep-suc-khoe
[2025-03-07T22:23:56.346+0000] {crawl_data.py:111} INFO - Extracted page 21 - lam-dep-suc-khoe
[2025-03-07T22:23:58.561+0000] {crawl_data.py:111} INFO - Extracted page 22 - lam-dep-suc-khoe
[2025-03-07T22:24:00.412+0000] {crawl_data.py:111} INFO - Extracted page 23 - lam-dep-suc-khoe
[2025-03-07T22:24:01.795+0000] {crawl_data.py:111} INFO - Extracted page 24 - lam-dep-suc-khoe
[2025-03-07T22:24:03.390+0000] {crawl_data.py:111} INFO - Extracted page 25 - lam-dep-suc-khoe
