[2025-03-07T23:16:48.674+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-07T23:16:48.689+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T23:16:45.328510+00:00 [queued]>
[2025-03-07T23:16:48.697+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T23:16:45.328510+00:00 [queued]>
[2025-03-07T23:16:48.698+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-07T23:16:48.712+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_data> on 2025-03-07 23:16:45.328510+00:00
[2025-03-07T23:16:48.720+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=782) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-07T23:16:48.721+0000] {standard_task_runner.py:72} INFO - Started process 784 to run task
[2025-03-07T23:16:48.722+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tiki_extract_dag', 'extract_data', 'manual__2025-03-07T23:16:45.328510+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/tiki_extract_dag.py', '--cfg-path', '/tmp/tmpbdtbrso1']
[2025-03-07T23:16:48.723+0000] {standard_task_runner.py:105} INFO - Job 41: Subtask extract_data
[2025-03-07T23:16:48.769+0000] {task_command.py:467} INFO - Running <TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T23:16:45.328510+00:00 [running]> on host 9a2d81a2e852
[2025-03-07T23:16:49.084+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tiki_extract_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-07T23:16:45.328510+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-07T23:16:45.328510+00:00'
[2025-03-07T23:16:49.085+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-07T23:16:49.086+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-07T23:16:49.086+0000] {logging_mixin.py:190} INFO - Current task name:extract_data state:running start_date:2025-03-07 23:16:48.690619+00:00
[2025-03-07T23:16:49.086+0000] {logging_mixin.py:190} INFO - Dag name:tiki_extract_dag and current dag run status:running
[2025-03-07T23:16:49.087+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-07T23:16:51.071+0000] {crawl_data.py:101} INFO - Crawling category lam-dep-suc-khoe with 40 pages
[2025-03-07T23:16:51.383+0000] {crawl_data.py:118} INFO - Extracted page 1 - lam-dep-suc-khoe, 10 items, total extracted: 10
[2025-03-07T23:16:54.117+0000] {crawl_data.py:118} INFO - Extracted page 2 - lam-dep-suc-khoe, 10 items, total extracted: 20
[2025-03-07T23:16:57.598+0000] {crawl_data.py:118} INFO - Extracted page 3 - lam-dep-suc-khoe, 10 items, total extracted: 30
[2025-03-07T23:17:01.579+0000] {crawl_data.py:118} INFO - Extracted page 4 - lam-dep-suc-khoe, 10 items, total extracted: 40
[2025-03-07T23:17:04.508+0000] {crawl_data.py:118} INFO - Extracted page 5 - lam-dep-suc-khoe, 10 items, total extracted: 50
[2025-03-07T23:17:07.084+0000] {crawl_data.py:118} INFO - Extracted page 6 - lam-dep-suc-khoe, 10 items, total extracted: 60
[2025-03-07T23:17:09.545+0000] {crawl_data.py:118} INFO - Extracted page 7 - lam-dep-suc-khoe, 10 items, total extracted: 70
[2025-03-07T23:17:12.137+0000] {crawl_data.py:118} INFO - Extracted page 8 - lam-dep-suc-khoe, 10 items, total extracted: 80
[2025-03-07T23:17:16.758+0000] {crawl_data.py:118} INFO - Extracted page 9 - lam-dep-suc-khoe, 10 items, total extracted: 90
[2025-03-07T23:17:19.307+0000] {crawl_data.py:118} INFO - Extracted page 10 - lam-dep-suc-khoe, 10 items, total extracted: 100
[2025-03-07T23:17:24.444+0000] {crawl_data.py:118} INFO - Extracted page 11 - lam-dep-suc-khoe, 10 items, total extracted: 110
[2025-03-07T23:17:26.873+0000] {crawl_data.py:118} INFO - Extracted page 12 - lam-dep-suc-khoe, 10 items, total extracted: 120
[2025-03-07T23:17:30.542+0000] {crawl_data.py:118} INFO - Extracted page 13 - lam-dep-suc-khoe, 10 items, total extracted: 130
[2025-03-07T23:17:33.172+0000] {crawl_data.py:118} INFO - Extracted page 14 - lam-dep-suc-khoe, 10 items, total extracted: 140
[2025-03-07T23:17:37.865+0000] {crawl_data.py:118} INFO - Extracted page 15 - lam-dep-suc-khoe, 10 items, total extracted: 150
[2025-03-07T23:17:43.139+0000] {crawl_data.py:118} INFO - Extracted page 16 - lam-dep-suc-khoe, 10 items, total extracted: 160
[2025-03-07T23:17:45.458+0000] {crawl_data.py:118} INFO - Extracted page 17 - lam-dep-suc-khoe, 10 items, total extracted: 170
[2025-03-07T23:17:48.749+0000] {crawl_data.py:118} INFO - Extracted page 18 - lam-dep-suc-khoe, 10 items, total extracted: 180
[2025-03-07T23:17:52.025+0000] {crawl_data.py:118} INFO - Extracted page 19 - lam-dep-suc-khoe, 10 items, total extracted: 190
[2025-03-07T23:17:55.639+0000] {crawl_data.py:118} INFO - Extracted page 20 - lam-dep-suc-khoe, 10 items, total extracted: 200
[2025-03-07T23:17:58.180+0000] {crawl_data.py:118} INFO - Extracted page 21 - lam-dep-suc-khoe, 10 items, total extracted: 210
[2025-03-07T23:18:03.223+0000] {crawl_data.py:118} INFO - Extracted page 22 - lam-dep-suc-khoe, 10 items, total extracted: 220
