[2025-03-10T01:38:59.963+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-10T01:39:00.043+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T01:38:50.111709+00:00 [queued]>
[2025-03-10T01:39:00.080+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T01:38:50.111709+00:00 [queued]>
[2025-03-10T01:39:00.082+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-10T01:39:00.143+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_data> on 2025-03-10 01:38:50.111709+00:00
[2025-03-10T01:39:00.175+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=1053) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-10T01:39:00.178+0000] {standard_task_runner.py:72} INFO - Started process 1055 to run task
[2025-03-10T01:39:00.179+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tiki_extract_dag', 'extract_data', 'manual__2025-03-10T01:38:50.111709+00:00', '--job-id', '302', '--raw', '--subdir', 'DAGS_FOLDER/tiki_extract_dag.py', '--cfg-path', '/tmp/tmpbjy3cz_1']
[2025-03-10T01:39:00.186+0000] {standard_task_runner.py:105} INFO - Job 302: Subtask extract_data
[2025-03-10T01:39:00.323+0000] {task_command.py:467} INFO - Running <TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T01:38:50.111709+00:00 [running]> on host 72a6d77a3cc5
[2025-03-10T01:39:01.632+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tiki_extract_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-10T01:38:50.111709+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-10T01:38:50.111709+00:00'
[2025-03-10T01:39:01.635+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-10T01:39:01.636+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-10T01:39:01.637+0000] {logging_mixin.py:190} INFO - Current task name:extract_data state:running start_date:2025-03-10 01:39:00.049772+00:00
[2025-03-10T01:39:01.638+0000] {logging_mixin.py:190} INFO - Dag name:tiki_extract_dag and current dag run status:running
[2025-03-10T01:39:01.647+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-10T01:39:02.721+0000] {tiki_extract_dag.py:129} INFO - Crawling category lam-dep-suc-khoe with 50 pages
[2025-03-10T01:39:03.792+0000] {tiki_extract_dag.py:151} INFO - Skipped product 276003962 due to duplicate
[2025-03-10T01:39:03.793+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275970393 due to duplicate
[2025-03-10T01:39:03.794+0000] {tiki_extract_dag.py:151} INFO - Skipped product 273598230 due to duplicate
[2025-03-10T01:39:03.795+0000] {tiki_extract_dag.py:151} INFO - Skipped product 191680827 due to duplicate
[2025-03-10T01:39:03.795+0000] {tiki_extract_dag.py:151} INFO - Skipped product 186434710 due to duplicate
[2025-03-10T01:39:03.796+0000] {tiki_extract_dag.py:151} INFO - Skipped product 179988643 due to duplicate
[2025-03-10T01:39:03.797+0000] {tiki_extract_dag.py:151} INFO - Skipped product 171564906 due to duplicate
[2025-03-10T01:39:03.797+0000] {tiki_extract_dag.py:151} INFO - Skipped product 168562118 due to duplicate
[2025-03-10T01:39:03.798+0000] {tiki_extract_dag.py:151} INFO - Skipped product 133245970 due to duplicate
[2025-03-10T01:39:03.798+0000] {tiki_extract_dag.py:151} INFO - Skipped product 128912879 due to duplicate
[2025-03-10T01:39:03.799+0000] {tiki_extract_dag.py:151} INFO - Skipped product 127026903 due to duplicate
[2025-03-10T01:39:03.800+0000] {tiki_extract_dag.py:151} INFO - Skipped product 118708687 due to duplicate
[2025-03-10T01:39:03.800+0000] {tiki_extract_dag.py:151} INFO - Skipped product 108535251 due to duplicate
[2025-03-10T01:39:03.801+0000] {tiki_extract_dag.py:151} INFO - Skipped product 95253531 due to duplicate
[2025-03-10T01:39:03.801+0000] {tiki_extract_dag.py:151} INFO - Skipped product 93078800 due to duplicate
[2025-03-10T01:39:03.802+0000] {tiki_extract_dag.py:151} INFO - Skipped product 91565733 due to duplicate
[2025-03-10T01:39:03.803+0000] {tiki_extract_dag.py:151} INFO - Skipped product 72644676 due to duplicate
[2025-03-10T01:39:03.803+0000] {tiki_extract_dag.py:151} INFO - Skipped product 25108217 due to duplicate
[2025-03-10T01:39:03.804+0000] {tiki_extract_dag.py:151} INFO - Skipped product 22254660 due to duplicate
[2025-03-10T01:39:03.804+0000] {tiki_extract_dag.py:151} INFO - Skipped product 22052325 due to duplicate
[2025-03-10T01:39:03.805+0000] {tiki_extract_dag.py:151} INFO - Skipped product 20541866 due to duplicate
[2025-03-10T01:39:03.805+0000] {tiki_extract_dag.py:151} INFO - Skipped product 14115539 due to duplicate
[2025-03-10T01:39:03.806+0000] {tiki_extract_dag.py:151} INFO - Skipped product 10298023 due to duplicate
[2025-03-10T01:39:03.807+0000] {tiki_extract_dag.py:151} INFO - Skipped product 10071383 due to duplicate
[2025-03-10T01:39:03.808+0000] {tiki_extract_dag.py:151} INFO - Skipped product 6874429 due to duplicate
[2025-03-10T01:39:03.808+0000] {tiki_extract_dag.py:151} INFO - Skipped product 5902685 due to duplicate
[2025-03-10T01:39:03.809+0000] {tiki_extract_dag.py:151} INFO - Skipped product 5560235 due to duplicate
[2025-03-10T01:39:03.810+0000] {tiki_extract_dag.py:151} INFO - Skipped product 3554629 due to duplicate
[2025-03-10T01:39:03.811+0000] {tiki_extract_dag.py:151} INFO - Skipped product 2042227 due to duplicate
[2025-03-10T01:39:03.811+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672211 due to duplicate
[2025-03-10T01:39:03.812+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672157 due to duplicate
[2025-03-10T01:39:03.813+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672155 due to duplicate
[2025-03-10T01:39:03.813+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1672153 due to duplicate
[2025-03-10T01:39:03.815+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1634983 due to duplicate
[2025-03-10T01:39:03.815+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1634981 due to duplicate
[2025-03-10T01:39:03.816+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1537315 due to duplicate
[2025-03-10T01:39:03.816+0000] {tiki_extract_dag.py:151} INFO - Skipped product 767101 due to duplicate
[2025-03-10T01:39:03.817+0000] {tiki_extract_dag.py:151} INFO - Skipped product 632680 due to duplicate
[2025-03-10T01:39:03.817+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385654 due to duplicate
[2025-03-10T01:39:03.818+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385582 due to duplicate
